ORPHA:276413	10q22.3q23.3 microdeletion syndrome
OMIM:261990	ABNORMAL HAIR, JOINT LAXITY, AND DEVELOPMENTAL DELAY; HJDD
ORPHA:921	Abruzzo-Erickson syndrome
ORPHA:2310	Absence deformity of leg-cataract syndrome
ORPHA:1658	Absence of fingerprints-congenital milia syndrome
OMIM:200130	ABSENT EYEBROWS AND EYELASHES WITH MENTAL RETARDATION
ORPHA:3016	Absent radius-anogenital anomalies syndrome
ORPHA:945	Acalvaria
OMIM:100600	ACANTHOSIS NIGRICANS
ORPHA:90301	Acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome
OMIM:200170	ACANTHOSIS NIGRICANS WITH MUSCLE CRAMPS AND ACRAL ENLARGEMENT
OMIM:614097	Acatalasemia
ORPHA:926	Acatalasemia
ORPHA:48818	Aceruloplasminemia
OMIM:604290	ACERULOPLASMINEMIA
OMIM:604290	ACERULOPLASMINEMIAHYPOCERULOPLASMINEMIA, INCLUDED
OMIM:142700	ACETABULAR DYSPLASIAHIP, DISLOCATION OF, CONGENITAL, INCLUDED
ORPHA:99736	Acetazolamide-responsive myotonia
OMIM:200300	ACETOPHENETIDIN SENSITIVITY
OMIM:243400	ACETYLATION, SLOW
OMIM:614055	ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENCY
OMIM:614055	ACETYL-CoA ACETYLTRANSFERASE-2 DEFICIENCY; ACAT2D
OMIM:614055	ACETYL-CoA ACETYLTRANSFERASE-2 DEFICIENCY; ACAT2D;;ACAT2 DEFICIENCY
OMIM:613933	ACETYL-COA CARBOXYLASE DEFICIENCY
OMIM:613933	ACETYL-CoA CARBOXYLASE DEFICIENCY; ACACAD;;ACACA DEFICIENCY;;ACC1 DEFICIENCY
OMIM:231550	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME
OMIM:231550	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME; AAAS;;TRIPLE-A SYNDROME;;ALACRIMA-ACHALASIA-ADRENAL INSUFFICIENCY NEUROLOGIC DISORDER;;GLUCOCORTICOID DEFICIENCY AND ACHALASIA;;ALLGROVE SYNDROME;;ADDISONIAN-ACHALASIA SYNDROME;;HYPOADRENALISM WITH ACHALASIA;;ALACRIMA-ACHALASIA-ADDISONIANISM;;ACTH-RESISTANT ADRENAL INSUFFICIENCY, ACHALASIA AND ALACRIMAACHALASIA-ALACRIMA SYNDROME, INCLUDED
OMIM:200400	ACHALASIA, FAMILIAL ESOPHAGEAL
ORPHA:929	Achalasia-microcephaly syndrome
OMIM:200450	ACHALASIA-MICROCEPHALY SYNDROME
OMIM:100700	ACHARD SYNDROME
ORPHA:931	Acheiropodia
OMIM:200500	ACHEIROPODY ACHEIROPODIA ACHEIROPODY, BRAZILIAN TYPE
ORPHA:932	Achondrogenesis
ORPHA:93299	Achondrogenesis type 1A
ORPHA:93298	Achondrogenesis type 1B
ORPHA:93296	Achondrogenesis type 2
OMIM:200600	ACHONDROGENESIS, TYPE IA
OMIM:200600	ACHONDROGENESIS, TYPE IA; ACG1A;;ACHONDROGENESIS, HOUSTON-HARRIS TYPE
OMIM:600972	ACHONDROGENESIS, TYPE IB
OMIM:600972	ACHONDROGENESIS, TYPE IB; ACG1B;;ACHONDROGENESIS, FRACCARO TYPE
OMIM:200610	ACHONDROGENESIS, TYPE II
OMIM:200610	ACHONDROGENESIS, TYPE II; ACG2;;ACHONDROGENESIS, LANGER-SALDINO TYPE;;CHONDROGENESIS IMPERFECTA;;ACHONDROGENESIS, TYPE IB, FORMERLYHYPOCHONDROGENESIS, INCLUDED
ORPHA:15	Achondroplasia
OMIM:100800	ACHONDROPLASIA
OMIM:100800	ACHONDROPLASIA; ACH
OMIM:616482	ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS
OMIM:616482	ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS; SADDAN
OMIM:616482	ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS;SADDAN;;SADDAN DYSPLASIA
OMIM:200900	ACHONDROPLASIA, SO-CALLED, AND SEVERE COMBINED IMMUNODEFICIENCY
OMIM:100820	ACHOO SYNDROME
ORPHA:49382	Achromatopsia
OMIM:216900	ACHROMATOPSIA 2
OMIM:216900	ACHROMATOPSIA 2; ACHM2;;COLORBLINDNESS, TOTAL;;ROD MONOCHROMATISM 2;;ROD MONOCHROMACY 2; RMCH2
OMIM:262300	ACHROMATOPSIA 3
OMIM:262300	ACHROMATOPSIA 3; ACHM3;;PINGELAPESE BLINDNESS;;TOTAL COLORBLINDNESS WITH MYOPIA;;ACHROMATOPSIA WITH MYOPIA;;ACHM1, FORMERLY;;ROD MONOCHROMATISM 1, FORMERLY;;ROD MONOCHROMACY 1, FORMERLY; RMCH1, FORMERLY
OMIM:613856	Achromatopsia 4
OMIM:616517	Achromatopsia 7
OMIM:615961	ACID-LABILE SUBUNIT DEFICIENCY; ACLSD
OMIM:200950	ACID PHOSPHATASE DEFICIENCY
ORPHA:40366	Acitretin/etretinate embryopathy
OMIM:200970	ACKERMAN SYNDROME
OMIM:142690	ACNE INVERSA, FAMILIAL
OMIM:613736	ACNE INVERSA, FAMILIAL, 2; ACNINV2
OMIM:613736	ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE; ACNINV2
OMIM:613737	ACNE INVERSA, FAMILIAL, 3; ACNINV3
ORPHA:90065	Acquired aneurysmal subarachnoid hemorrhage
ORPHA:91385	Acquired angioedema
OMIM:300909	ACQUIRED ANGIOEDEMA
ORPHA:95626	Acquired central diabetes insipidus
ORPHA:79086	Acquired generalized lipodystrophy
ORPHA:73274	Acquired hemophilia
ORPHA:2221	Acquired hypertrichosis lanuginosa
ORPHA:454	Acquired ichthyosis
ORPHA:75564	Acquired idiopathic sideroblastic anemia
ORPHA:464453	Acquired methemoglobinemia
ORPHA:79087	Acquired partial lipodystrophy
ORPHA:49566	Acquired purpura fulminans
ORPHA:99147	Acquired von Willebrand syndrome
ORPHA:158673	Acral dystrophic epidermolysis bullosa
ORPHA:263534	Acral peeling skin syndrome
ORPHA:281127	Acral self-healing collodion baby
OMIM:200990	Acrocallosal syndrome
ORPHA:36	Acrocallosal syndrome
ORPHA:63446	Acrocapitofemoral dysplasia
OMIM:607778	ACROCAPITOFEMORAL DYSPLASIA
OMIM:607778	ACROCAPITOFEMORAL DYSPLASIA; ACFD
ORPHA:2008	Acrocardiofacial syndrome
OMIM:200995	ACROCEPHALOPOLYDACTYLOUS DYSPLASIA
OMIM:200995	ACROCEPHALOPOLYDACTYLOUS DYSPLASIA;;ELEJALDE SYNDROME
ORPHA:221054	Acrocephalopolydactyly
OMIM:101120	ACROCEPHALOPOLYSYNDACTYLY TYPE III
OMIM:201020	ACROCEPHALOPOLYSYNDACTYLY TYPE IV
OMIM:201020	ACROCEPHALOPOLYSYNDACTYLY TYPE IV;;ACPS IV;;GOODMAN SYNDROME
ORPHA:946	Acrocephalosyndactyly
ORPHA:949	Acrocraniofacial dysostosis
OMIM:201050	ACROCRANIOFACIAL DYSOSTOSIS
ORPHA:37	Acrodermatitis enteropathica
OMIM:201100	ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE
ORPHA:950	Acrodysostosis
OMIM:101800	ACRODYSOSTOSIS
OMIM:101800	ACRODYSOSTOSIS 1, WITH OR WITHOUT HORMONE RESISTANCE
OMIM:101800	ACRODYSOSTOSIS 1, WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1;;ADOHR
OMIM:614613	ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE
OMIM:614613	ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS2
OMIM:614613	ACRODYSOSTOSIS 2, WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS2
ORPHA:280651	Acrodysostosis with multiple hormone resistance
ORPHA:2956	Acrodysplasia scoliosis
OMIM:154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE
OMIM:154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1
OMIM:154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1;;MANDIBULOFACIAL DYSOSTOSIS, TREACHER COLLINS TYPE, WITH LIMB ANOMALIES;;NAGER ACROFACIAL DYSOSTOSIS;;AFD, NAGER TYPE;;NAGER SYNDROME
ORPHA:1786	Acrofacial dysostosis, Catania type
OMIM:101805	ACROFACIAL DYSOSTOSIS, CATANIA TYPE
OMIM:616462	ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE
OMIM:616462	ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN
ORPHA:1787	Acrofacial dysostosis, Palagonia type
OMIM:601829	ACROFACIAL DYSOSTOSIS, PALAGONIA TYPE
